# column		type			unit		default
obsid			int64			sec		0
date			int[6]			None		[]
mjd			float			day		None
lst_deg			float			deg		None
hourangle_deg		float			deg		None
day_of_week		int			None		None
day_of_year		int			None		None
holiday			bool			None		False
obsname			S20			None		''
exposure_time_sec	int			sec		0
azimuth_deg		float			deg		None
altitude_deg		float			deg		None
ra_pointing_deg		float			deg		None
dec_pointing_deg	float			deg		None
field_name		S20			None		''
pointing_drift_num	int			None		None
gridname		S20			None		''
gridnum			int			None		None
beamformer_delays	int[16]			None		[]
coarse_channels		int[24]			None		[]
center_coarse_channel	int			None		None
center_freq		float			MHz		None
bandwidth		float			MHz		None
corr_int_time		float			sec		None
corr_int_freq		float			kHz		None
corr_ninputs		int			None		None
corr_n_time_outs	int			None		None
n_fine_channels		int			None		None
creator			S20			None		''
project			S20			None		''
mode			S20			None		''
calibrator		bool			None		''
schedule_command	S200			None		''
active_rx		int[16]			None		[]
#fiber_factor		
sun_alt			float			deg		None
sun_dist		float			deg		None
moon_alt		float			deg		None
moon_dist		float			deg		None
jupiter_alt		float			deg		None
jupiter_dist		float			deg		None
tsys			float			K		None
site_tec		float			None		None
site_rms_tec		float			None		None
rx_outside_temp		float			K		None
humidity		float			None		None
wind_speed		float			None		None
wind_dir		float			None		None
solar_problem		bool			None		False
modtime			object			None		None


